DATE,USNGSP
1997-01-01,8577552.0
1998-01-01,9062817.0
1999-01-01,9630663.0
2000-01-01,10252347.0
2001-01-01,10581822.0
2002-01-01,10936418.0
2003-01-01,11458246.0
2004-01-01,12213730.0
2005-01-01,13036637.0
2006-01-01,13814609.0
2007-01-01,14451860.0
2008-01-01,14712845.0
2009-01-01,14448932.0
2010-01-01,14992052.0
2011-01-01,15542582.0
2012-01-01,16197007.0
2013-01-01,16784851.0
2014-01-01,17527258.0
2015-01-01,18238301.0
2016-01-01,18745075.0
2017-01-01,19542980.0
2018-01-01,20611861.0
2019-01-01,21433226.0
2020-01-01,20936558.0
